Player_Name,Team,Nationality,Player_Type,Capped,Matches_Played,Runs,Average,Strike_Rate,Wickets,Bowling_average,Economy,Bowling_Strike_Rate,Catches,Run_outs,Stumps
Kamlesh Nagarkoti,Delhi,Indian,Allrounder,1,11,22,5.5,66.67,5,51.2,9.14,33.6,,,
Kane Williamson,Gujrat,Overseas,Batter,1,63,1885,40.11,131.27,,,,,,,
Karan Sharma ,Lucknow,Indian,Allrounder,2,,,,,,,,,,,
Karn Sharma ,Bangalore,Indian,Bowler ,1,19,,,,12,41.2,8.27,,,,
Kartik Tyagi,Hyderabad,Indian,Bowler ,1,14,6,,,13,37.7,9.41,24.08,,,
KC Cariappa,Rajasthan,Indian,Bowler ,1,11,,,,8,43.5,9.67,27,,,
Khaleel Ahmed ,Delhi,Indian,Bowler ,1,24,,,,32,24.56,8.69,16.97,,,
KL Rahul ,Lucknow,Indian,Batter,1,94,3273,47.43,136.38,,,,,50,4,5
Krunal Pandya,Lucknow,Indian,Allrounder,1,84,1143,22.41,138.55,51,34.76,7.37,28.31,,,
KS Bharat,Gujrat,Indian,Keeper,1,8,191,38.2,122.4,,,,,4,0,1
Kuldeep Yadav,Delhi,Indian,Bowler ,1,45,57,9.5,76,40,30.9,8.28,22.4,,,
Kuldip Yadav,Rajasthan,Indian,Bowler ,1,1,,,,0,,8,,,,
Kyle Mayers,Lucknow,Overseas,Allrounder,0,4,96,32,160,,,10,,,,
Lalit Yadav,Delhi,Indian,Allrounder,1,7,68,34,93.15,4,25.25,7.21,21,,,
Liam Livingstone,Punjab,Overseas,Allrounder,1,9,112,14,125.84,,,,,,,
Lockei Ferguson,Gujarat,Overseas,Bowler ,1,22,62,0,151.22,24,27,8.12,19.96,,,
Lungi Ngidi ,Delhi ,Overseas,Bowler ,1,14,,,,25,17.92,8.3,12.96,,,
Mahipal Lomror,Bangalore,Indian,Allrounder,1,11,181,22.62,119.87,1,74,7.48,60,,,
Manan Vohra,Lucknow,Indian,Batter,1,53,1054,22.43,130.61,,,,,,,
Mandeep Singh,Kolkata,Indian,Batter,1,105,1674,22,124,,,,,,,
Manish Pandey ,Delhi,Indian,Batter,1,154,3560,30.69,121.83,,,,,,,
Marco Jensen,Hyderabad,Overseas,Allrounder,1,2,,,,2,22.5,7.5,18,,,
Marcus Stoinis,Lucknow,Overseas,Allrounder,1,56,914,27.7,135.81,30,32.3,9.5,20.4,,,
Mark Wood,Lucknow,Overseas,Bowler ,0,19,11,,84.62,26,24.08,8.76,16.5,,,
Matthew Wade,Gujarat,Overseas,Keeper,0,56,733,20.4,126.6,,,,,36,3,3
Mayank Agarwal,Hyderabad,Indian,Batter,1,100,2135,23.46,135.73,,,,,,,
Mayank Yadav,Lucknow,Indian,Bowler ,2,,,,,,,,,,,
Mitchell Marsh,Delhi,Overseas,Allrounder,1,21,225,17.31,114.21,20,21,7.9,15.95,,,
Mithchel Santner ,Chennai,Overseas,Allrounder,1,6,32,32,139.13,6,24.5,7,21,,,
Moeen Ali,Chennai,Overseas,Allrounder,1,34,666,22.97,146.37,16,29.31,6.85,25.69,,,
Mohammad Arshad Khan ,Mumbai ,Indian,Allrounder,2,,,,,,,,,,,
Mohammad Shami ,Gujarat,Indian,Bowler ,1,77,69,6.27,94.53,79,30.41,8.63,21.14,,,
Mohsin Khan,Lucknow,Indian,Bowler ,0,26,,,,33,19.3,7.08,,,,
MS Dhoni,Chennai,Indian,Keeper,1,220,4746,39.5,135.8,,,,,126,21,39
Mukesh Choudhary ,Chennai,Indian,Bowler ,0,12,,,,16,22.9,8.5,,,,
Murugan Ashwin,Mumbai,Indian,Bowler ,1,34,,,,26,33.88,7.87,25.85,,,
Mustafizur Rahman ,Delhi,Overseas,Bowler ,1,38,9,9,52.94,38,29.5,7.84,22.58,,,
N Jagadeesan ,Chennai,Indian,Keeper,1,5,33,16.5,113.8,,,,,,,
N Tilak Varma ,Mumbai,Indian,Allrounder,0,15,381,29.3,143.8,,,9.255,,,,
Nathan Coulter-Nile,Rajasthan,Overseas,Bowler ,1,38,,,,48,21.92,7.52,17.48,,,
Nathan Ellis,Punjab,Overseas,Allrounder,1,3,18,18,112.5,1,90,8.8,66,,,
Navdeep Saini,Rajasthan,Indian,Bowler ,1,28,,,,17,48.71,8.48,34.47,,,
Nicholas Pooran ,Hyderabad,Overseas,Keeper,1,33,606,22.4,155,,,,,11,3,0
Nitish Rana ,Kolkata,Indian,Allrounder,1,77,1820,28,132.46,7,22,8.03,16.43,,,
Noor Ahmad,Gujarat,Overseas,Bowler ,0,35,,,,35,27.1,7.13,,,,
Obed McCoy,Rajasthan,Overseas,Bowler ,0,13,,,,19,16.8,7.6,,,,
Odean Smith ,Punjab,Overseas,Allrounder,0,8,49,12.25,163.33,7,33.86,10.77,18.86,,,
Pat Cummins ,Kolkata,Overseas,Allrounder,1,37,316,19.75,140.44,38,30.13,8.24,21.95,,,
Prabhsimran Singh,Punjab,Indian,Keeper,1,5,50,10,90.9,,,,,2,0,0
Pradeep Sangwan ,Gujarat,Indian,Allrounder,1,39,24,3.43,61.54,35,33.57,8.79,22.91,,,
Prashant Solanki ,Chennai,Indian,Bowler ,2,,,,,,,,,,,
Prasidh Krishna ,Rajasthan,Indian,Bowler ,1,34,3,1.5,25,30,38.4,9.27,24.87,,,
Pratham Singh ,Kolkata,Indian,Batter,0,27,829,33.2,127.7,,,,,,,
Pravin Dubey,Delhi,Indian,Allrounder,0,22,126,14,102.4,20,22.3,7.13,18.8,,,
Prerak Mankad,Punjab,Indian,Allrounder,0,34,763,33.2,140.5,20,30.6,8.6,21.3,,,
Prithvi Shaw,Delhi,Indian,Batter,1,53,1305,24.62,146.3,,,,,,,
Priyam Garg,Hyderabad,Indian,Batter,1,19,205,14.64,110.81,,,,,,,
Quinton De Kock,Lucknow,Overseas,Keeper,1,77,2256,31.3,130.9,,,,,53,0,14
R Sai Kishore,Gujarat,Indian,Bowler ,0,38,,,,43,17.4,5.46,,,,
R Samarth,Hyderabad,Indian,Batter,0,23,275,13.8,94.5,,,,,,,
Rahul Buddhi,Mumbai,Indian,Batter,0,12,222,31.7,136.2,,,,,,,
Rahul Chahar ,Punjab,Indian,Bowler ,1,42,31,4.43,96.88,43,25.98,7.45,20.93,,,
Rahul Tewatia,Gujarat,Indian,Allrounder,1,48,521,23.68,124.34,32,31.88,7.71,24.81,,,
Rahul Tripathi,Hyderabad,Indian,Batter,1,62,1385,26.13,136.32,,,,,,,
Raj Angad Bawa,Punjab,Indian,Allrounder,2,,,,,,,,,,,
Rajvardhan Hangargekar,Chennai,Indian,Allrounder,2,,,,,,,,,,,
Ramandeep Singh ,Mumbai,Indian,Allrounder,0,13,98,14,136.1,3,25.3,6.9,22,,,
Ramesh Kumar ,Kolkata,Indian,Batter,2,,,,,,,,,,,
Rashid Khan,Gujarat,Overseas,Allrounder,1,76,222,9.255,137.04,93,20.56,6.33,19.48,,,
Rasikh Dar,Kolkata,Indian,Bowler ,1,1,,,,1,,10.5,,,,
Rassie Van Der Dussen ,Rajasthan,Overseas,Batter,0,34,933,38.88,130.86,,,,,,,
Ravi Bishnoi,Lucknow,Indian,Bowler ,1,23,8,4,50,24,25.25,6.97,21.75,,,
Ravichandran Ashwin ,Rajasthan,Indian,Allrounder,1,167,456,11.12,109.88,145,27.8,6.91,24.12,,,
